geofips,metro_name,airports,gdp_2017,gdp_2018,gdp_2019,gdp_2021,gdp_2022,pop_2017,pop_2018,pop_2019,pop_2021,pop_2022
31740,Manhattan,MHK,7189918,7104990,6861437,7097690,7080608,131667,131698,130285,"133,860","133,384"
27780,Johnstown,JST,4692840,4697005,4682004,4626528,4606726,132960,131449,130192,"132,237","131,429"
41540,Salisbury,SBY,21115455,21627958,22495198,23200229,23829827,404155,409999,415726,"128,660","129,094"
44420,Staunton,SHD,5064115,5135189,5150015,5140168,5295475,121744,122628,123120,"126,059","126,678"
30020,Lawton,LAW,5191990,5143664,5233018,5281857,5187670,127649,126348,126415,"127,766","127,674"
33540,Missoula,MSO,5530699,5598430,5759384,6373555,6517231,117834,118640,119600,"124,700","126,031"
,Bozeman,BZN,,,,,,,,,"123,098","124,938"
48300,Wenatchee,EAT,6353998,6436263,6483516,6669335,6804146,118325,119501,120629,"123,615","124,261"
46300,Twin Falls,TWF,4697778,4880650,4987157,5329506,5444612,109142,110095,111290,"117,132","119,065"
41660,San Angelo,SJT,6333829,6668905,7301861,7351026,7372583,120365,120834,122027,"120,765","120,447"
11020,Altoona,AOO,5849536,5944931,6080921,6114417,6106454,123147,122503,121829,"122,150","120,734"
15260,Brunswick,BQK,4534646,4697516,4615626,4810326,4906786,117587,118282,118779,"113,959","114,538"
48060,Watertown,ART,6422238,6376427,6361905,6333785,6340740,113157,111866,109834,"116,902","115,461"
48700,Williamsport,IPT,5836494,5801131,5766772,5663667,5556207,114012,113866,113299,"113,561","113,034"
36980,Owensboro,OWB,5844583,5743200,5739439,5613842,5619140,118455,118879,119440,"112,211","112,296"
13220,Beckley,BKW,3990112,4064980,4184828,4023333,4237478,118673,117154,115767,"113,815","112,189"
27060,Ithaca,ITH,6140234,6184849,6298392,6003916,6333133,102664,102419,102180,"105,966","104,299"
24220,Grand Forks,GFK,5409304,5431145,5474118,5441765,5368617,102126,101766,100815,"103,405","103,146"
16940,Cheyenne,CYS,5428708,5727043,6009411,5986116,5846867,98377,98865,99500,"100,827","100,781"
19500,Decatur (IL),DEC,6950487,6752927,6477282,6870929,7020859,105399,104504,104009,"102,597","101,333"
26300,Hot Springs,HOT,3297461,3379134,3432909,3488827,3498943,98327,98966,99386,"100,393","99,982"
20220,Dubuque,DBQ,6389591,6378942,6624026,7048913,6866230,97066,96922,97311,"98,854","98,715"
47020,Victoria,VCT,4562994,4866382,4746446,4773799,4867121,99597,99466,99742,"98,029","98,194"
16020,Cape Girardeau,CGI,4326578,4420708,4430209,4422321,4416653,96819,96868,96765,"97,743","98,303"
,Helena,HLN,,,,,,,,,"92,298","94,386"
21820,Fairbanks,FAI,5765988,5667136,5668703,5646088,5532492,99675,98565,96849,"95,593","95,202"
38540,Pocatello,PIH,3168627,3222781,3293509,3373520,3550277,93088,94374,95489,"88,515","89,625"
37620,Parkersburg,PKB,3610428,3680020,3537875,3672676,3644616,90846,89991,89339,"88,870","88,480"
24500,Great Falls,GTF,3715757,3765477,3719741,3780633,3857222,81633,81688,81366,"84,551","85,001"
21300,Elmira,ELM,3691136,3741851,3743192,3632541,3638009,84736,83935,83456,"83,039","81,641"
16220,Casper,CPR,5594566,5920361,5678124,5001565,4988595,79586,79175,79858,"79,635","79,523"
24260,Grand Island,GRI,4050138,4106450,4122827,4450402,4402217,75456,75476,75553,"76,263","76,320"
,Minot,MOT,,,,,,,,,"76,867","76,233"
30300,Lewiston (ID),LWS,2618835,2610148,2756455,2927355,2979199,62798,62872,62990,"64,969","65,445"
47460,Walla Walla,ALW,3407116,3451733,3469095,3305840,3417318,60512,60615,60760,"62,211","61,853"
